"#","Reference","Qty","Value","Footprint","DNP"
"1","A1, R1, R13, R14, R16, R17","6","10k","Resistor_SMD:R_0805_2012Metric",""
"2","C1, C4, C5, C6, C7, C8, C20, C25, C28, C29, C30, C31","12","100n","Capacitor_SMD:C_0805_2012Metric",""
"3","C2, C3","2","22p","Capacitor_SMD:C_0805_2012Metric",""
"4","C9, C10, C11, C12, C14, C19","6","22u","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A",""
"5","C13, C16, C18, C24","4","10u","Capacitor_SMD:C_1206_3216Metric",""
"6","C15","1","1000u","Capacitor_THT:C_Radial_D10.0mm_H20.0mm_P5.00mm",""
"7","C17, C21, C22, C23, C26, C27","6","47u","Capacitor_SMD:C_1210_3225Metric",""
"8","D1","1","BLUE","LED_SMD:LED_0805_2012Metric",""
"9","D2","1","RED","LED_SMD:LED_0805_2012Metric",""
"10","D3","1","WHITE","LED_SMD:LED_1206_3216Metric",""
"11","D4","1","D_Schottky","Diode_SMD:D_SMA",""
"12","FB1","1","FerriteBead","Fuse:Fuse_0603_1608Metric",""
"13","IC1","1","BMI088","BMI088",""
"14","J1","1","nRF24L01","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical",""
"15","J2, J3","2","Conn_01x04","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical",""
"16","J4","1","USB_B_Mini","Connector_USB:USB_Mini-B_Wuerth_65100516121_Horizontal",""
"17","J5","1","XT60","Connector_AMASS:AMASS_XT60-M_1x02_P7.20mm_Vertical",""
"18","L1, L2","2","3u3","3.3uH:WE-HCI_7030_7040_705023",""
"19","PWR1","1","Conn_02x12_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x12_P2.54mm_Vertical",""
"20","Q1","1","FDN340P","Package_TO_SOT_SMD:SOT-23",""
"21","R2","1","470","Resistor_SMD:R_0805_2012Metric",""
"22","R3, R4, R5, R10","4","1k5","Resistor_SMD:R_0805_2012Metric",""
"23","R6, R7, R8, R9","4","4k7","Resistor_SMD:R_0805_2012Metric",""
"24","R11","1","R0.0100","Resistor_SMD:R_2512_6332Metric",""
"25","R12","1","100k","Resistor_SMD:R_0805_2012Metric",""
"26","R15, R18","2","56k","Resistor_SMD:R_0805_2012Metric",""
"27","SIG1","1","Conn_01x12","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical",""
"28","SW1","1","SW_DPST","PushButton:SW_B3SL-1002P_OMR",""
"29","SW2","1","SW_Push_DPDT","1_My_custom_footprint_library:SlideSW",""
"30","U2","1","STM32F103RCT6TR","Package_QFP:LQFP-64_10x10mm_P0.5mm",""
"31","U3","1","AZ1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"32","U4, U5","2","TPS565208","Package_TO_SOT_SMD:SOT-23-6",""
"33","U6","1","INA219AIDCNR","Package_TO_SOT_SMD:SOT-23-8",""
"34","U7","1","PCA9685PW","Package_SO:TSSOP-28_4.4x9.7mm_P0.65mm",""
"35","Y1","1","Crystal_GND24","Crystal:Crystal_SMD_EuroQuartz_MQ-4Pin_7.0x5.0mm",""
